Title,URL
Alaska Climate Integrated Modeling (ACLIM data) Live Access Server (LAS): NOAA/PMEL,https://data.pmel.noaa.gov/aclim/las/UI.html
Alaska Ocean Observing System (AOOS) Data Portal: IOOS,http://portal.aoos.org/
Animal Telemetry Network (ATN) Data Portal: IOOS,https://portal.atn.ioos.us/
Alaska Ocean Observing System (AOOS) Data Explorer,https://portal.aoos.org
Arctic Heat Ocean Science Experiment: NOAA/PMEL ,https://data.pmel.noaa.gov/alamo/erddap/index.html
Arctic Data Center (NSF),https://arcticdata.io
Arctic Sea-Ice Forecast: NOAA/PSL,https://psl.noaa.gov/forecasts/seaice/
ARGO Floats Data Visualizations: UCSD,https://argo.ucsd.edu/data/data-visualizations/
Atlantic Tradewind Ocean–Atmosphere Mesoscale Interaction Campaign (ATOMIC).,https://psl.noaa.gov/atomic/
Atmospheric Hovmoller Diagram Web Portal: NOAA/PSL,https://psl.noaa.gov/map/time_plot/
Australian Ocean Data Network Portal,https://portal.aodn.org.au
Biological and Chemical Oceanography Data Portal: BCO-DMO,https://www.bco-dmo.org
British Oceanographic Data Center,https://www.bodc.ac.uk
California Current Marine Heatwave Tracker - Blobtracker: NOAA Integrated Ecosystem Assessment,https://www.integratedecosystemassessment.noaa.gov/regions/california-current/california-current-marine-heatwave-tracker-blobtracker
California Cooperative Oceanic Fisheries Investigation: ,https://calcofi.org/
California Current Marine Heatwave Tracker: NOAA/PMEL,https://oceanview.pfeg.noaa.gov/products/mhw/latest
Climate Change Web Portal: NOAA/PSL,https://psl.noaa.gov/ipcc/
Climate Data Library and Plotter: NOAA/IRI,http://iridl.ldeo.columbia.edu/
Climate Reanalyzer: Climate Change Institute,https://climatereanalyzer.org/
Climate Indices: Web Portal (data since 1856),https://psl.noaa.gov/gcos_wgsp/Timeseries/Plot/
Coastal Inundation Dashboard: NOAA Center for Operational Oceanographic Products and Services.,https://tidesandcurrents.noaa.gov/inundationdb/
Climate Composite Analysis Web Portal: NOAA/PSL,https://psl.noaa.gov/data/composites/
Copernicus Marine Service,https://marine.copernicus.eu
Correlations: Monthly/Seasonal Maps and Vertical Cross-Sections: NOAA/PSL,https://psl.noaa.gov/data/correlation/
Distribution Mapping and Analysis Portal : NOAA Fisheries,https://apps-st.fisheries.noaa.gov/dismap/index.html
El Ni&ntilde;o Theme Page: NOAA/PMEL,https://www.pmel.noaa.gov/elnino/
ENSO Events Climate Model Comparison From FACTS tools: NOAA/PSL,https://psl.noaa.gov/repository/model/compare?frequency=Monthly&event_group=ENSO+Events
"ENSO Status, Research, and Interactive Webtools: NOAA/PSL",https://psl.noaa.gov/enso/
ENSO Dashboard: NOAA/PSL,https://psl.noaa.gov/enso/dashboard.html
ENSO Forecasts: NOAA/IRI,https://iri.columbia.edu/our-expertise/climate/forecasts/enso/current/
Environmental DNA (eDNA) : NOAA Exploration,https://oceanexplorer.noaa.gov/technology/edna/edna.html
ERDDAP: Easier Access to Scientific Data,https://www.ncei.noaa.gov/erddap/information.html
Gridded Climate Data Animator: NOAA/PSL,https://psl.noaa.gov/data/animation/
Facility for Climate Assessments (FACTS): NOAA/PSL,https://psl.noaa.gov/repository/facts/
Fisheries Economics of the United States: NOAA Fisheries,https://www.fisheries.noaa.gov/national/sustainable-fisheries/fisheries-economics-united-states
FishGlob Database,https://github.com/AquaAuma/FishGlob_data
GFDL's Data portal: NOAA/GFDL,https://data1.gfdl.noaa.gov
GFDL's Ocean Visualizations Collection: NOAA/GFDL,https://www.gfdl.noaa.gov/visualization/visualizations-oceans/
Glider Distributed Archive Center (DAC) : IOOS,https://gliders.ioos.us/data/
Global Ocean Data Assimilation System (GODAS) Monitoring Products: NOAA/CPC,https://www.cpc.ncep.noaa.gov/products/GODAS/
Gridded Climate Datasets: NOAA/PSL,https://psl.noaa.gov/data/gridded/
High Frequency (HF) Radar Distributed Archive Center (DAC): IOOS ,https://hfradar.ioos.us/
High Frequency (HF) Radar Distributed Archive Center (DAC) THREDDS: UCSD Scripps Institution of Oceanography,http://hfrnet.ucsd.edu/thredds/catalog.html
Hurricane Research: NOAA/AOML,https://www.aoml.noaa.gov/hurricane-research-division/
Indonesian National Oceanographic Data Center (NODC),https://nodc.id/oceanography
Integrated Ocean Observing System (IOOS) Data Catalog,https://ioos.us
Integrated Ocean Observing System (IOOS) Caribbean (CariCOOS) Data Portal,http://www.caricoos.org/drupal/
Integrated Ocean Observing System (IOOS) Central and Northern California (CeNCOOS) Data Portal,http://data.cencoos.org/
Integrated Ocean Observing System (IOOS) Gulf of Mexico (GCOOS) Data Portal,http://data.gcoos.org/
Integrated Ocean Observing System (IOOS) Great Lakes (GLOS) Data Portal,http://portal.glos.us/
Integrated Ocean Observing System (IOOS) Mid-Atlantic (MARACOOS) Data Portal,https://maracoos.org/
Integrated Ocean Observing System (IOOS) Pacific Northwest (NANOOS) Visualization System (NVS),http://nvs.nanoos.org/
